CultureBank ID	Feature	Possible Values	Clarifying Comments	Domain	Feature patron	Suggested standardised comments	Feature prompt in Indonesian	Very hard to deny	Prone to misunderstandings among researchers	Last edited	ID/Reference according to other cultural databases	db_Object	db_Domain	Feature question in Indonesian
SD12_6	Are there particular traditional music styles?	0:No;1:Yes;10:yes > no		Material culture 			Apakah ada jenis/gaya musik tradisional tertentu yang dimainkan di desa ini? Apa bedanya dengan jenis/gaya musik tradisional yang dimainkan di tempat lain?			26/09/2016 09:54		Are there particular traditional music styles?	{'10': <DomainElement 'SD12_6-10'>, '?': <DomainElement 'SD12_6-?'>, '0': <DomainElement 'SD12_6-0'>, '1': <DomainElement 'SD12_6-1'>}	
SD13_0	Do people use body paint or tattoo?	0:No;1:Yes		Traditional adornment			Apakah di desa ini ada cat tubuh/tato?			26/09/2016 09:54		Do people use body paint or tattoo?	{'?': <DomainElement 'SD13_0-?'>, '0': <DomainElement 'SD13_0-0'>, '1': <DomainElement 'SD13_0-1'>}	
SD13_1	Were teeth traditionally filed? (i.e. made shorter with a file)	0:No;1:Yes		Traditional adornment			Apakah gigi diperpendek dengan kikir? 			26/09/2016 09:54		Were teeth traditionally filed? (i.e. made shorter with a file)	{'?': <DomainElement 'SD13_1-?'>, '0': <DomainElement 'SD13_1-0'>, '1': <DomainElement 'SD13_1-1'>}	
SD13_2	Are there typical traditional haircuts?	0:No;1:Yes		Traditional adornment			Apakah di desa ini ada gaya potongan rambut tertentu?			26/09/2016 09:54		Are there typical traditional haircuts?	{'?': <DomainElement 'SD13_2-?'>, '0': <DomainElement 'SD13_2-0'>, '1': <DomainElement 'SD13_2-1'>}	
SD13_3	Traditional piercings?	0:No;1:Yes		Traditional adornment			Apakah ada lubang di telinga, hidung, bibir, atau pipi untuk memasukkan perhiasan?			26/09/2016 09:54		Traditional piercings?	{'?': <DomainElement 'SD13_3-?'>, '0': <DomainElement 'SD13_3-0'>, '1': <DomainElement 'SD13_3-1'>}	
SD13_4	Are feathers or beads used as adornments?	0:No;1:Yes		Traditional adornment			Apakah ada bulu ayam atau perhiasan lain untuk membuat hiasan kepala?			26/09/2016 09:54		Are feathers or beads used as adornments?	{'?': <DomainElement 'SD13_4-?'>, '0': <DomainElement 'SD13_4-0'>, '1': <DomainElement 'SD13_4-1'>}	
SD13_5	Is there traditional jewelry?	0:No;1:Yes		Traditional adornment			Apakah masyarakat di desa ini biasa memakai perhiasan adat? Apa saja perhiasan adat yang biasa dipakai? Bagaimana bentuknya? Terbuat dari apa perhiasan ini?			26/09/2016 09:54		Is there traditional jewelry?	{'?': <DomainElement 'SD13_5-?'>, '0': <DomainElement 'SD13_5-0'>, '1': <DomainElement 'SD13_5-1'>}	
SD13_6	Is there special adornment used in rituals or ceremonies?	1:Yes;10:yes > no	E.g. 	Traditional adornment			Apakah saat melakukan ritual adat atau tari-tarian adat masyarakat di desa ini memakai perhiasan? Bagaimana perhiasan-perhiasan itu dipakai? Terbuat dari apa perhiasan itu?			26/09/2016 09:54		Is there special adornment used in rituals or ceremonies?	{'10': <DomainElement 'SD13_6-10'>, '?': <DomainElement 'SD13_6-?'>, '1': <DomainElement 'SD13_6-1'>}	
SD14_0	Is spatial organization divided into primary and secondary type?	0:No;2:Primary;1:Yes	AN (Fox 1997) primary spatial organisation is East West (path of the sun); secondary is upstream/downstream, landward/seaward right/left	Space and toponyms						26/09/2016 09:54		Is spatial organization divided into primary and secondary type?	{'?': <DomainElement 'SD14_0-?'>, '2': <DomainElement 'SD14_0-2'>, '0': <DomainElement 'SD14_0-0'>, '1': <DomainElement 'SD14_0-1'>}	
SD14_1	Are there conceptual connections between spatial directions such as E+S / W + N with male/female, or with day/night, or with right/left?	0:No;1:Yes		Space and toponyms						26/09/2016 09:54		Are there conceptual connections between spatial directions such as E+S / W + N with male/female, or with day/night, or with right/left?	{'?': <DomainElement 'SD14_1-?'>, '0': <DomainElement 'SD14_1-0'>, '1': <DomainElement 'SD14_1-1'>}	
SD1_0	Do adults in this village typically speak more than one local language?	0:No;1:Yes	Indonesian/Malay is not considered a local language.	Linguistic situation			Apakah orang dewasa di desa ini biasanya bicara lebih dari satu bahasa daerah? Bahasa apa saja yang digunakan?			26/09/2016 09:54		Do adults in this village typically speak more than one local language?	{'?': <DomainElement 'SD1_0-?'>, '0': <DomainElement 'SD1_0-0'>, '1': <DomainElement 'SD1_0-1'>}	
SD1_1	Do children typically speak more than one local language?	0:No;1:Yes		Linguistic situation			Apakah anak-anak biasanya mampu bicara lebih dari satu bahasa daerah? Bahasa apa saja yang digunakan?			26/09/2016 09:54		Do children typically speak more than one local language?	{'?': <DomainElement 'SD1_1-?'>, '0': <DomainElement 'SD1_1-0'>, '1': <DomainElement 'SD1_1-1'>}	
SD1_2	Is it common in this village that husband and wife have different languages?	0:No;1:Yes		Linguistic situation			Apakah di desa ini sudah biasa jika suami dan istri berbicara dengan bahasa yang berbeda?			26/09/2016 09:54		Is it common in this village that husband and wife have different languages?	{'?': <DomainElement 'SD1_2-?'>, '0': <DomainElement 'SD1_2-0'>, '1': <DomainElement 'SD1_2-1'>}	
SD1_3	Does a wife learn to speak the language of her husband?	1:Yes		Linguistic situation			Apakah seorang istri belajar untuk berbicara bahasa suaminya?			26/09/2016 09:54		Does a wife learn to speak the language of her husband?	{'?': <DomainElement 'SD1_3-?'>, '1': <DomainElement 'SD1_3-1'>}	
SD1_4	Does a husband learn to speak the language of his wife?	0:No;1:Yes		Linguistic situation			Apakah seorang suami belajar untuk berbicara bahasa istrinya?			26/09/2016 09:54		Does a husband learn to speak the language of his wife?	{'?': <DomainElement 'SD1_4-?'>, '0': <DomainElement 'SD1_4-0'>, '1': <DomainElement 'SD1_4-1'>}	
SD1_5	Do they communicate with a third language?	0:No;1:Yes;2:yes / no		Linguistic situation			Apakah suami dan istri berbicara dengan bahasa ketiga (seperti bahasa Indonesia atau bahasa daerah lingua franca, seperti Lamaholot/Tetun)			26/09/2016 09:54		Do they communicate with a third language?	{'?': <DomainElement 'SD1_5-?'>, '2': <DomainElement 'SD1_5-2'>, '0': <DomainElement 'SD1_5-0'>, '1': <DomainElement 'SD1_5-1'>}	
SD2_0	Do people traditionally hunt?	1:Yes	Percentage?	Subsistence			Apakah masyarakat di sini berburu secara tradisional? Bagaimana mereka berburu? Alat apa saja yang digunakan?			26/09/2016 09:54		Do people traditionally hunt?	{'?': <DomainElement 'SD2_0-?'>, '1': <DomainElement 'SD2_0-1'>}	
SD2_1	Do people traditionally fish in the sea?	0:No;1:Yes	Percentage?	Subsistence			Apakah masyarakat di sini mencari ikan dengan cara tradisional? Bagaimana mereka mencari ikan? Alat apa saja yang digunakan?			26/09/2016 09:54		Do people traditionally fish in the sea?	{'?': <DomainElement 'SD2_1-?'>, '0': <DomainElement 'SD2_1-0'>, '1': <DomainElement 'SD2_1-1'>}	
SD2_2	Do people traditionally have animal husbandry?	1:Yes	Percentage?	Subsistence			Apakah masyarakat di sini mempunyai hewan peliharaan? Apa saja hewan yang diternakkan? Apa saja hewan yang dirawat di rumah?			26/09/2016 09:54		Do people traditionally have animal husbandry?	{'?': <DomainElement 'SD2_2-?'>, '1': <DomainElement 'SD2_2-1'>}	
SD2_3	Do people traditionally have agriculture?	1:Yes	Percentage?	Subsistence			Apakah masyarakat di sini mempunyai lahan pertanian? Di mana lokasi lahan mereka? Apakah di sekitar rumah atau letaknya agak jauh?			26/09/2016 09:54		Do people traditionally have agriculture?	{'?': <DomainElement 'SD2_3-?'>, '1': <DomainElement 'SD2_3-1'>}	
SD2_4	Intensity of cultivation?	2:2;4:2 / 3;7:2 / 3 / 4;5:2 > 3 /4;3:3;6:3 / 4	1) no agriculture 2) extensive or shifting agriculture 3) horticulture 4) intensive agriculture / irrigation	Subsistence			Bagaimana dengan intensitas perawatan terhadap tenaman di ladang?			26/09/2016 09:54		Intensity of cultivation?	{'?': <DomainElement 'SD2_4-?'>, '2': <DomainElement 'SD2_4-2'>, '3': <DomainElement 'SD2_4-3'>, '4': <DomainElement 'SD2_4-4'>, '6': <DomainElement 'SD2_4-6'>, '7': <DomainElement 'SD2_4-7'>, '5': <DomainElement 'SD2_4-5'>}	
SD2_5	Major crops?	1:1;10:1 / 2;11:1 / 2 / 3;13:1 / 2 / 3 / 4;14:1 / 2 / 4;15:1 / 3;12:1 / 4;16:1 /2 /4;2:2	1) corn, 2) dry/wet rice, 3) tree fruits, 3) roots or tubers	Subsistence			Apa pertanian utama di desa ini? Apa saja hasil yang dipanen? Apa saja hasil panen yang paling banyak?			26/09/2016 09:54		Major crops?	{'?': <DomainElement 'SD2_5-?'>, '13': <DomainElement 'SD2_5-13'>, '11': <DomainElement 'SD2_5-11'>, '15': <DomainElement 'SD2_5-15'>, '2': <DomainElement 'SD2_5-2'>, '16': <DomainElement 'SD2_5-16'>, '12': <DomainElement 'SD2_5-12'>, '10': <DomainElement 'SD2_5-10'>, '1': <DomainElement 'SD2_5-1'>, '14': <DomainElement 'SD2_5-14'>}	
SD3_0	Are there clans?	1:Yes	Specify in notes field.	Kinship			Apakah ada suku di desa ini? Ada berapa suku di desa ini? Sebutkan suku-suku yang ada di desa ini! Bapak dari suku yang mana?			26/09/2016 09:54		Are there clans?	{'?': <DomainElement 'SD3_0-?'>, '1': <DomainElement 'SD3_0-1'>}	
SD3_1	Are there moieties?	0:No;1:Yes	Moieties are descendant/social/ritual groups into which a clan is divided. Specificy in notes field.	Kinship			Apakah ada marga di sini? Suku dibagi dalam marga apa saja?			26/09/2016 09:54		Are there moieties?	{'?': <DomainElement 'SD3_1-?'>, '0': <DomainElement 'SD3_1-0'>, '1': <DomainElement 'SD3_1-1'>}	
SD3_2	Is there a concept of 'house' (uma/rumah) that equals a descent group?	0:No;1:Yes	"In Alor Kecil ""uma"" are important for social organization."	Kinship			"Apakah nama suku / marga itu terhubung dengan sebuah ""rumah""? Apakah sebuah marga disebut ""rumah xx""?"			26/09/2016 09:54		Is there a concept of 'house' (uma/rumah) that equals a descent group?	{'?': <DomainElement 'SD3_2-?'>, '0': <DomainElement 'SD3_2-0'>, '1': <DomainElement 'SD3_2-1'>}	
SD3_3	Are clans matrilineal	2:???;0:No;1:Yes		Kinship			Nenek moyang suku adalah laki-laki atau perempuan?			26/09/2016 09:54		Are clans matrilineal	{'?': <DomainElement 'SD3_3-?'>, '2': <DomainElement 'SD3_3-2'>, '0': <DomainElement 'SD3_3-0'>, '1': <DomainElement 'SD3_3-1'>}	
SD3_4	Are clans, subclans or lineages ranked	0:No;1:Yes		Kinship			Di antara suku2 / marga2 ini, ada suku yg dianggap lebih besar/penting/tinggi? Ada suku/marga yg dianggap kurang besar/penting atau yg rendah? Misalnya, keturunan dari anak satu bapak: keturunan anak yg sulung diganggap lebih  besar/tinggi daripada keturunan dari anak yg bungsu. Contoh lain: keturunan dari  orang yg asli daerah dianggap lebih penting daripada  keturunan dari pendatang atau sebaliknya. Apa suku yang dianggap paling tinggi? Apa suku yang ada di bawahnya? Apa suku yang berada di tingkatan paling bawah? Mengapa sebuah suku disebut memiliki tingkatan yang paling tinggi atau rendah?			26/09/2016 09:54		Are clans, subclans or lineages ranked	{'?': <DomainElement 'SD3_4-?'>, '0': <DomainElement 'SD3_4-0'>, '1': <DomainElement 'SD3_4-1'>}	
SD3_5	Does every clan speak their own language?	0:No	I.e. are clans identified by languages?	Kinship			Apakah setiap suku berbicara dengan bahasa mereka masing-masing?			26/09/2016 09:54		Does every clan speak their own language?	{'?': <DomainElement 'SD3_5-?'>, '0': <DomainElement 'SD3_5-0'>}	
SD4_0	Is real property (land) inherited?	1:Yes		Inheritance			Apakah rumah dan tanah diwariskan?			26/09/2016 09:54		Is real property (land) inherited?	{'?': <DomainElement 'SD4_0-?'>, '1': <DomainElement 'SD4_0-1'>}	
SD4_1	Did one person (lord / clan) originally own all the land?	0:No;1:Yes		Inheritance			Pada zaman dulu, siapa yang memiliki tanah/kebun di sini? Apakah ada satu orang pemilik atau satu keluarga atau satu suku? Apakah ada pemimpin atau raja yang dulu menjadi pemilik tanah di desa ini?			26/09/2016 09:54		Did one person (lord / clan) originally own all the land?	{'?': <DomainElement 'SD4_1-?'>, '0': <DomainElement 'SD4_1-0'>, '1': <DomainElement 'SD4_1-1'>}	
SD4_2	Are there inheritance rules?	1:Yes		Inheritance			Apakah ada aturan-aturan tentang pewarisan? Apa saja aturannya?			26/09/2016 09:54		Are there inheritance rules?	{'?': <DomainElement 'SD4_2-?'>, '1': <DomainElement 'SD4_2-1'>}	
SD4_3	Is land inheritance matrilineal (sister's sons; sister's younger brother)?	0:No;1:Yes		Inheritance			Apakah pewarisan tanah/rumah bersifat mengutamakan anak perempuan?			26/09/2016 09:54		Is land inheritance matrilineal (sister's sons; sister's younger brother)?	{'?': <DomainElement 'SD4_3-?'>, '0': <DomainElement 'SD4_3-0'>, '1': <DomainElement 'SD4_3-1'>}	
SD4_4	Is land inheritance patrilineal (sons)?	0:No;1:Yes		Inheritance			Apakah pewarisan tanah/rumah bersifat mengutamakan anak laki-laki?			26/09/2016 09:54		Is land inheritance patrilineal (sons)?	{'?': <DomainElement 'SD4_4-?'>, '0': <DomainElement 'SD4_4-0'>, '1': <DomainElement 'SD4_4-1'>}	
SD4_5	Is moveable property inheritance matrilineal (sister's sons; sister's younger brother)?	0:No;1:Yes		Inheritance			Apakah pewarisan benda bergerak, seperti kuda, perahu, dan sepeda motor bersifat mengutamakan anak perempuan?			26/09/2016 09:54		Is moveable property inheritance matrilineal (sister's sons; sister's younger brother)?	{'?': <DomainElement 'SD4_5-?'>, '0': <DomainElement 'SD4_5-0'>, '1': <DomainElement 'SD4_5-1'>}	
SD4_6	Is moveable property inheritance patrilineal?	0:No;1:Yes		Inheritance			Apakah pewarisan benda bergerak, seperti kuda, perahu, dan sepeda motor bersifat mengutamakan anak laki-laki?			26/09/2016 09:54		Is moveable property inheritance patrilineal?	{'?': <DomainElement 'SD4_6-?'>, '0': <DomainElement 'SD4_6-0'>, '1': <DomainElement 'SD4_6-1'>}	
SD4_7	Do all children inherit, sons and daughters alike?	0:No;1:Yes		Inheritance			Apakah semua anak, baik laki-laki maupun perempuan, mendapatkan warisan yang sama?			26/09/2016 09:54		Do all children inherit, sons and daughters alike?	{'?': <DomainElement 'SD4_7-?'>, '0': <DomainElement 'SD4_7-0'>, '1': <DomainElement 'SD4_7-1'>}	
SD4_8	Do all children inherit, with daughters receiving less?	0:No;1:Yes		Inheritance			Apakah semua anak, baik laki-laki maupun perempuan, mendapatkan warisan dengan anak perempuan menerima lebih sedikit?			26/09/2016 09:54		Do all children inherit, with daughters receiving less?	{'?': <DomainElement 'SD4_8-?'>, '0': <DomainElement 'SD4_8-0'>, '1': <DomainElement 'SD4_8-1'>}	
SD4_9	Can newcomers aquire land or gardens?	0:No;1:Yes		Inheritance			Orang pendatang bisa memiliki tanah atau kebun di sini? Bagaimana orang dari luar bisa menjadi pemilik tanah di desa ini?			26/09/2016 09:54		Can newcomers aquire land or gardens?	{'?': <DomainElement 'SD4_9-?'>, '0': <DomainElement 'SD4_9-0'>, '1': <DomainElement 'SD4_9-1'>}	
SD5_0	At what age should young people get married?	13:17-30+ men / 13-25 women;10:20+ men / 20+ women;16:20-25 men / 17-18 women;18:20-30 men / 16-28 women;14:20-30 men /16-28 women;11:25-30 men / 18-30 women;17:27-28 men / 27-28 women;20:30 men / 20 women > 17-19 men / 15 women;12:30 men / 25 women;19:30+ men / 20+ women > 25 men / 20+ women ;15:30+ men / 30+ women > 17-20+ men / 16-20+ women;1:Yes	Difference between boys and girls?	Marriage 			Di usia berapa seorang pemuda dan pemudi diharuskan untuk menikah? Di desa ini, pemuda paling muda menikah di usia berapa dan pemuda paling tua menikah di usia berapa? Di desa ini, pemudi paling muda menikah di usia berapa dan pemudi paling tua menikah di usia berapa?			26/09/2016 09:54		At what age should young people get married?	{'13': <DomainElement 'SD5_0-13'>, '11': <DomainElement 'SD5_0-11'>, '17': <DomainElement 'SD5_0-17'>, '19': <DomainElement 'SD5_0-19'>, '16': <DomainElement 'SD5_0-16'>, '?': <DomainElement 'SD5_0-?'>, '10': <DomainElement 'SD5_0-10'>, '18': <DomainElement 'SD5_0-18'>, '12': <DomainElement 'SD5_0-12'>, '15': <DomainElement 'SD5_0-15'>, '1': <DomainElement 'SD5_0-1'>, '20': <DomainElement 'SD5_0-20'>, '14': <DomainElement 'SD5_0-14'>}	
SD5_1	Are there marriage rules – specify in notes field	1:Yes;2:Yes > no	i.e. cannot marry category X, or must/should marry Y	Marriage 			Ceriteralah tentang peraturan menyankut hubungan kawin-mawin? Contoh: Ada hubungan kawin yg dianggap paling baik/cocok, dan  yg dianggap kurang  baik/tidak cocok? Ada hubungan yg dilarang sama sekali? Isterinya pindah ke sukunya suami, atau laki-laki pindah ke sukunya isteri?			26/09/2016 09:54		Are there marriage rules – specify in notes field	{'?': <DomainElement 'SD5_1-?'>, '2': <DomainElement 'SD5_1-2'>, '1': <DomainElement 'SD5_1-1'>}	
SD5_10	Is there gift exchange between bride's and groom's sides?	0:No;1:Yes	Food, drink?	Marriage 			Apakah ada tukar hadiah antara pengantin perempuan dan pengantin laki-laki?			26/09/2016 09:54		Is there gift exchange between bride's and groom's sides?	{'?': <DomainElement 'SD5_10-?'>, '0': <DomainElement 'SD5_10-0'>, '1': <DomainElement 'SD5_10-1'>}	
SD5_11	Is there bride service?	0:No;1:Yes	Service rendered to the bride's family by the bridegroom as a bride-price or part of a bride-price.	Marriage 			Apakah ada syarat-syarat tertentu yang harus dilakukan oleh pengantin laki-laki kepada pengantin perempuan? Contohnya adalah layanan yang dilakukan keluarga pengantin laki-laki kepada keluarga pengantin perempuan.			26/09/2016 09:54		Is there bride service?	{'?': <DomainElement 'SD5_11-?'>, '0': <DomainElement 'SD5_11-0'>, '1': <DomainElement 'SD5_11-1'>}	
