Language_ID	Feature_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
lama1278	SD11_5	nan	1.0	nan	arak for rituals; (tuak just to drink), sirih pinang, tobacco. Traditional they make 'obat' for plants, called Habu Maa 'bathe sawah'. They spray it on the plants in the garden and leave the garden for 3 days.	nan	nan	nan
lama1278	SD11_6	nan	1.0	nan	Called Hering Araa, each garden has it. 	nan	nan	nan
lama1278	SD11_7	nan	1.0	nan	The ritual is called Wua' Lodo 'Ana' 'give name child'. 4 days and 3 nights after the birth, mother and child come outside the house. Everyone is called to eat sirih pinang, the mother serves. Then they also give the baby a name, and announce it to the people.	nan	nan	nan
lama1278	SD11_8	nan	1.0	nan	The ritual is called Hebo'. Four days after the burial the family of mother's brother come and have a party. On the table they put a piece of ivory, and the family discusses its price. After they agree on the price they cut chickens and drink tuak. This is makan belis. This ritual only applies with old man that are already grandfather. The family of the mother brings clothes/goods, the family of the father brings ivory.(Unclear !???)	nan	nan	nan
lama1278	SD11_9	nan	1.0	nan	Habu Nuba 'bathe stone'. There is one clan that has the task to do this ritual. They must go to Nuba Nara, the place where they do the rituals, and they need to cut a pig or goat and then they go home and call out: the rain is coming, and then the rain will come.	nan	nan	nan
lama1278	SD12_0	nan	1.0	nan		nan	nan	nan
lama1278	SD12_1	nan	1.0	nan		nan	nan	nan
lama1278	SD12_2	nan	0.0	nan		nan	nan	nan
lama1278	SD12_3	nan	0.0	nan		nan	nan	nan
lama1278	SD12_4	nan	0.0	nan		nan	nan	nan
lama1278	SD12_5	nan	1.0	nan	Bamboo flute, drum, gong, ukelele. 	nan	nan	nan
lama1278	SD12_6	nan	0.0	nan	Not special for this village.	nan	nan	nan
lama1278	SD13_0	nan	1.0	nan	Women and men have tattoo, it can be put anywhere on the body. It is made of body paint named Kanire'eng which is made of burned coal and sugar of tuak, which is applied with a duri. Tattoos can be put everywhere. Men have figures of cecak, spider, scorpion; women usually have flowers. It used to make you dat je niet geraakt of gekwetst kan worden als iemand je snijdt of slaat.	nan	nan	nan
lama1278	SD13_1	nan	1.0	nan	Called Doro Ipə. With stones as in the other places. Nowadays it is no longer done.	nan	nan	nan
lama1278	SD13_2	nan	1.0	nan	Half long hair for men with a tail on the back of the head. Women have long hair called Bewuge', hair bound in a knot with a pin in it, which is called Nugi = duri landak =egel.	nan	nan	nan
lama1278	SD13_3	nan	1.0	nan	Only in ears.	nan	nan	nan
lama1278	SD13_4	nan	1.0	nan	Head piece is made of lontar leaf with chicken feathers, as many as they want. The head piece of women is closed on the top, the men's is open with chicken feathers on it.	nan	nan	nan
lama1278	SD13_5	nan	1.0	nan	Bracelet and necklace and earrings. Bracelet and necklace of ivory, earrings not.	nan	nan	nan
lama1278	SD13_6	nan	1.0	nan	Sarong, kain and headpiece.	nan	nan	nan
lama1278	SD14_0	nan	0.0	nan	north: rae = mountain, south: lau = sea, west: lara halu= sun set, east: lara gere = sun rise. So the directional system is directed towards the mountain/sea, and not absolute.	nan	nan	nan
lama1278	SD14_1	nan	1.0	nan	If a lontar tree is tall with a single fruit stick its called Mara Laki, a male tree. If a lontar tree is not so tall but has many fruits sticks hanging down its called Mara Roneng, a female tree.	nan	nan	nan
lama1278	SD1_0	nan	0.0	nan	Lamaholot 	nan	nan	nan
lama1278	SD1_1	nan	0.0	nan		nan	nan	nan
lama1278	SD1_2	nan	1.0	nan	Mostly from Java, Sumatra, Kalimantan, but also from other villages	nan	nan	nan
lama1278	SD1_3	nan	1.0	nan	The husband/wife that comes from outside and lives in Lewoingu will learn Lamaholot.	nan	nan	nan
lama1278	SD1_4	nan	1.0	nan	See previous	nan	nan	nan
lama1278	SD1_5	nan	1.0	nan	Indonesian	nan	nan	nan
lama1278	SD2_0	nan	1.0	nan	When consultant was still young they used to hunt for wild pigs, deer, using bow and arrow, spear, with a dog.	nan	nan	nan
lama1278	SD2_1	nan	1.0	nan	They search for fish when the tide is low, beach is 2 km from village. They spear fish and also use poison from root of Pohon Tuba that they put into a hole in the reef and then the fish comes out.	nan	nan	nan
lama1278	SD2_2	nan	1.0	nan	pig, goat, chicken, dogs (no horses, cows, buffalo)	nan	nan	nan
lama1278	SD2_3	nan	1.0	nan	Gardens are in the village and closeby, as well as far from the village borders (> 10 km). Wet rice is in the valley.	nan	nan	nan
lama1278	SD2_4	nan	6.0	nan		nan	nan	nan
lama1278	SD2_5	nan	11.0	nan	Wet rice, corn, millet, mente, kemiri, cacao, banana, two types of spices (lada)	nan	nan	nan
lama1278	SD3_0	nan	1.0	nan	The clans include: Manuk, Tukan, Kewen, Koten, Kelen, Maran, Uri, Sapa Hera, Badung.	nan	nan	nan
lama1278	SD3_1	nan	0.0	nan	Clans are the same as moieties, e.g. in the naming: Bernardus Boli Manuk: Bernardus = catholic name, Boli = name of ancestor or hero, Manuk = clan / moietie name.	nan	nan	nan
lama1278	SD3_2	nan	1.0	nan	Each village has its own traditional house. Its called Lango Belen, 'house big'. To keep the the sacred objects of the village, e.g. ivory.  	nan	nan	nan
lama1278	SD3_3	nan	0.0	nan		nan	nan	nan
lama1278	SD3_4	nan	1.0	nan	Four clans are higher than the others, because they were the first to settle on the land. They are: Koton, Kelen, Marang, Huri. There are many more clans. Each clan has its own traditional task in ceremonies, e.g. one clan has the task to hold the animal's head, the other to hold the rope, the other to hold the tail, and one to cut the neck/artery. 	nan	nan	nan
lama1278	SD3_5	nan	0.0	nan		nan	nan	nan
lama1278	SD4_0	nan	1.0	nan	Sons get equal share, daughters get nothing.	nan	nan	nan
lama1278	SD4_1	nan	1.0	nan	The house goes to the eldest son.	nan	nan	nan
lama1278	SD4_1	nan	1.0	nan	The Raja of Larantuka was originally the owner of all the land. This kingdom was in place before the colonial times. In the village, the land is owned by the four important clans, who were politically under the king of Larantuka.	nan	nan	nan
lama1278	SD4_2	nan	1.0	nan	Sawah/field/garden: divided between the sons. Rumah adat (if father is kepala suku): the title and the house goes to the eldest son. Ivory goes to eldest son. Kain tenun divided between sons and daughters (daughters optional). In general the youngest son gets the least and daughters do not inherit. 	nan	nan	nan
lama1278	SD4_3	nan	0.0	nan		nan	nan	nan
lama1278	SD4_4	nan	1.0	nan		nan	nan	nan
lama1278	SD4_5	nan	0.0	nan		nan	nan	nan
lama1278	SD4_6	nan	1.0	nan		nan	nan	nan
lama1278	SD4_7	nan	0.0	nan	Women are excluded, they do not even get clothes from their parents (goes to the clan of the bride's father.) They become part of the clan of their husband. That clan receives the belis.	nan	nan	nan
lama1278	SD4_8	nan	0.0	nan		nan	nan	nan
lama1278	SD4_9	nan	1.0	nan	People from outside can buy land and build a house. No restrictions. 	nan	nan	nan
lama1278	SD5_0	nan	19.0	nan	Before it was 30+ for men, because they had to have a supply from the gardens (gudang makanan) and it was 20+ for women because they had to know how to weave and have a supply of clothes (gudang pakaian)	nan	nan	nan
lama1278	SD5_1	nan	1.0	nan	There is a marriage exchange rule called Tika telo (tungku three). Three clans are Tukan, Kelen and Manu. The men from Kelen marry girls from Manu, the men from Manu marry girls from Tukan and the men from Tukan marry girls from Kelen. It is forbidden to marry girls in the opposite direction.	nan	nan	nan
lama1278	SD5_10	nan	0.0	nan	Rengki: a service from the bride's family to feed a spoonful of rice to the couple. It is done by the bride's sister and brother. 	nan	nan	nan
lama1278	SD5_11	nan	0.0	nan	There is no bride service but if belis is not yet paid, it is utang adat, and the debt will remain and be inherited by the children. You can also repay it by providing a girl for another marriage.	nan	nan	nan
lama1278	SD5_12	nan	2.0	nan	Optional.	nan	nan	nan
lama1278	SD5_13	nan	6.0	nan	As long as they don't have a house, they stay with their parents (husband or wife). When they have a house, they can move to stay wherever they want.	nan	nan	nan
lama1278	SD5_14	nan	1.0	nan	They must marry outside the clan, following the 3 tungku principle. (To marry mother's brother's child is no longer applied today.)	nan	nan	nan
lama1278	SD5_15	nan	10.0	nan	Children are part of father's clan.	nan	nan	nan
lama1278	SD5_2	nan	1.0	nan	It is a right and an obligation that a man marries the daughter of the brother of his mother. If he does not do this, he has to pay a fine, as belis. 	nan	nan	nan
lama1278	SD5_3	nan	0.0	nan	It is not typical, but it is possible, if it follows the 3 tungku principle (see above)	nan	nan	nan
lama1278	SD5_5	nan	0.0	nan	There are no locality restrictions. The 3 tungku principle must be applied.	nan	nan	nan
lama1278	SD5_6	nan	0.0	nan		nan	nan	nan
lama1278	SD5_7	nan	0.0	nan		nan	nan	nan
lama1278	SD5_8	nan	1.0	nan	Ivory. It's called weling əlang. 	nan	nan	nan
lama1278	SD5_9	nan	1.0	nan	Kain, clothes. It called Ohe.It's worth half of the belis.	nan	nan	nan
lama1278	SD6_0	nan	1.0	nan		nan	nan	nan
lama1278	SD6_1	nan	0.0	nan	It used to be separated. There are four different groups: Bele, Roki, Ketepu, Koke. Each village has 5-6 families per group, and the villages are separated by a few hundred meters and woods. 	nan	nan	nan
lama1278	SD6_2	nan	1.0	nan		nan	nan	nan
lama1278	SD6_3	nan	0.0	nan	Not centred on related men or women. 	nan	nan	nan
lama1278	SD6_4	nan	5.0	nan	900+	nan	nan	nan
lama1278	SD6_5	nan	0.0	nan		nan	nan	nan
lama1278	SD6_6	nan	0.0	nan	Villages are traditionally in the mountains but not on hilltops. 	nan	nan	nan
lama1278	SD6_7	nan	0.0	nan	They only have a house at the beach, to work on salt production from sea water. 	nan	nan	nan
lama1278	SD6_8	nan	1.0	nan	Village square, called bale desa now. Traditional house is called Korke, it is located in the old village. 	nan	nan	nan
lama1278	SD7_0	nan	1.0	nan		nan	nan	nan
lama1278	SD7_1	nan	2.0	nan		nan	nan	nan
lama1278	SD7_2	nan	2.0	nan	It's rectangular, two low and long slopes, two small ones. 	nan	nan	nan
lama1278	SD7_3	nan	0.0	nan	Just bale bale where ivory is kept (see pictures). There are 8 poles: symbols for the 4 important suku facing their partner clans (maybe the next 4 clans that arrived); now the 8 poles symbolize the inclusion of all the clans into one unit.	nan	nan	nan
lama1278	SD8_0	nan	1.0	nan	Traditional leaders come from the 4 important clans. Each of them has their own leader.	nan	nan	nan
lama1278	SD8_1	nan	1.0	nan	If someone is capable and ready to be a leader, he can be selected. But he has to be a member of one of the 4 leading clans.	nan	nan	nan
lama1278	SD8_10	nan	0.0	nan		nan	nan	nan
lama1278	SD8_11	nan	1.0	nan	Around 1950's there was a war Perang Tanding, between kampong Leworo'ok and Lewokluok about borders.	nan	nan	nan
lama1278	SD8_12	nan	0.0	nan	All people live in the mountains.	nan	nan	nan
lama1278	SD8_3	nan	0.0	nan		nan	nan	nan
lama1278	SD8_4	nan	0.0	nan	In the past, there were bevak, places where young men could hang out.	nan	nan	nan
lama1278	SD8_5	nan	1.0	nan	The king is from Larantuka, but each village has a Kakang = the head of the village, who reports to the king. 	nan	nan	nan
lama1278	SD8_6	nan	0.0	nan	Earlier there were people without parents who were adopted into families as 'slaves' but not anymore. Non-hereditary.	nan	nan	nan
lama1278	SD8_7	nan	0.0	nan	Raja Usi=Raja Larantuka, a local ruler.	nan	nan	nan
lama1278	SD8_8	nan	1.0	nan	Nowadays there are corporations of farmers who keep the harvest of all the farmers in order to control the market price.	nan	nan	nan
lama1278	SD8_9	nan	0.0	nan		nan	nan	nan
lama1278	SD9_0	nan	1.0	nan	Nowadays name is given after they are born and then baptized. The father's party gives the nameif the belis has been paid. If not, then the mother's party gives the name.	nan	nan	nan
lama1278	SD9_1	nan	1.0	nan	The clan name.	nan	nan	nan
lama1278	SD9_2	nan	1.0	nan	Yes if the belis is paid.	nan	nan	nan
lama1278	SD9_3	nan	1.0	nan	If the father has not paid the belis yet.	nan	nan	nan
lama1278	SD9_4	nan	1.0	nan	The name of a mad person or someone with a bad reputation cannot be used anymore.	nan	nan	nan
lama1278	SD9_5	nan	0.0	nan		nan	nan	nan
lama1278	SD9_6	nan	1.0	nan	Koda Kiring Ama Bapa (koda = word, message; ama bapa = from the ancestors).	nan	nan	nan
lama1278	SD9_7	nan	1.0	nan	Rase gahang, Ata gahang = new person, other person	nan	nan	nan
