Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD2_4	blag1240	Intensity of cultivation?	4	2 / 3	11:40:00	nan	2:2;4:2 / 3;7:2 / 3 / 4;5:2 > 3 /4;3:3;6:3 / 4	
SD2_5	blag1240	Major crops?	1	1	No rice or tubers, very few fruit trees. Jambu en kemiri trees do grow but not very many. The most important source of income is to get tuak (palm wine) from the lontar tree, which they cook to become sopi (palm liquor).	nan	1:1;10:1 / 2;11:1 / 2 / 3;13:1 / 2 / 3 / 4;14:1 / 2 / 4;15:1 / 3;12:1 / 4;16:1 /2 /4;2:2	
SD3_0	blag1240	Are there clans?	1	Yes	The following clans are listed: Serambanang ('beggars'), Molidopal (?), Adobalolu ('bubungan rumah yg paling tinggi'), Lokamboru (?), Wed Hawa ('sun house'), Tabu Hawa ('siput house'), Lit Hawa ('rock house'), Baku Malung, Deng Wa (people from the Malal clan in the south who moved here), Marang Hawa ('angry house'), Bial Etang ('on top of the elang').	nan	1:Yes	
SD3_1	blag1240	Are there moieties?	1	Yes	A marga is described as a family consisting of several brothers and their offspring. The following moieties are listed: Wenigomang, Taramahi, Pekomo, Gomang Dopung, Dopung Nuha, Halajahi, Salamahi, Pasmahi, Nuhomo, Lapikoli, Mobubung, Ilduka, Nuaholong, Olang (came from Pantar), Sengaji, Dopongabora, Puling Wetang, Tonum Puling, Watang Halung, Wetang Gomang, Kandola, Kiarutang, Mukolang, Aborawatang, Doponduru, Pulamau, Jahidopong, Pasutung, Hamapu, Wenidata, Lumba, Manupas, Pasmarang, Deni. Many clans divide into moieties but it is mentioned that there are also moieties whose members come from different clans.	nan	0:No;1:Yes	
SD3_2	blag1240	Is there a concept of 'house' (uma/rumah) that equals a descent group?	1	Yes	The word hawa used in some of the clan names translates as 'house'. In the past, each clan had its own house, with a separate section for each family or moiety. They alll lived in one big house.	nan	0:No;1:Yes	
SD3_3	blag1240	Are clans matrilineal	0	No		nan	2:???;0:No;1:Yes	
SD3_4	blag1240	Are clans, subclans or lineages ranked	1	Yes	For example, in the Molidopal clan, there are three levels of moyeties/families: 1. Nuhomo, the leader/eldest of the clan, 2. Teramahi, 3. Halajahi. Not all moyeties in a clan actually have a traditional location, some come from outside the area. From outside the area can also become head of clan.	nan	0:No;1:Yes	
SD3_5	blag1240	Does every clan speak their own language?	0	No		nan	0:No	
SD4_0	blag1240	Is real property (land) inherited?	1	Yes	The ancestors divided the land. This is inherited from father to son. If a person does not own land, he can also rent it, and use it to grow crops, but that land or the right to rent it is not inheritable.	nan	1:Yes	
SD4_1	blag1240	Did one person (lord / clan) originally own all the land?	1	Yes	It is inherited by the sons in the family. The son who stays at home to look after the house (and does not get an education) will be the one to organise what to do with the heritage.	nan	0:No;1:Yes	
SD4_1	blag1240	Did one person (lord / clan) originally own all the land?	1	Yes	In the past, much of the land here was owned by the Nuhomo family.	nan	0:No;1:Yes	
SD4_2	blag1240	Are there inheritance rules?	1	Yes	Only sons inherit, as daughters are moving out of the clan into their husband's.	nan	1:Yes	
SD4_3	blag1240	Is land inheritance matrilineal (sister's sons; sister's younger brother)?	0	No		nan	0:No;1:Yes	
SD4_4	blag1240	Is land inheritance patrilineal (sons)?	1	Yes		nan	0:No;1:Yes	
SD4_5	blag1240	Is moveable property inheritance matrilineal (sister's sons; sister's younger brother)?	0	No		nan	0:No;1:Yes	
SD4_6	blag1240	Is moveable property inheritance patrilineal?	1	Yes		nan	0:No;1:Yes	
SD4_7	blag1240	Do all children inherit, sons and daughters alike?	0	No		nan	0:No;1:Yes	
SD4_8	blag1240	Do all children inherit, with daughters receiving less?	0	No		nan	0:No;1:Yes	
SD4_9	blag1240	Can newcomers aquire land or gardens?	0	No	Newcomers are given land to build a house on or to make a garden. They can also work together on land owned by an original inhabitant. But they cannot buy land. Land is never sold / bought here. Then he explains that in the 1960's when there was a famine, his father bought land with kacang jagung.But that land was taken back again.	nan	0:No;1:Yes	
SD5_0	blag1240	At what age should young people get married?	12	30 men / 25 women	girls: 25; boys: 30. There are women here who have not married, and stay with their parents, because their bride price was too high.	nan	13:17-30+ men / 13-25 women;10:20+ men / 20+ women;16:20-25 men / 17-18 women;18:20-30 men / 16-28 women;14:20-30 men /16-28 women;11:25-30 men / 18-30 women;17:27-28 men / 27-28 women;20:30 men / 20 women > 17-19 men / 15 women;12:30 men / 25 women;19:30+ men / 20+ women > 25 men / 20+ women ;15:30+ men / 30+ women > 17-20+ men / 16-20+ women;1:Yes	
SD5_1	blag1240	Are there marriage rules – specify in notes field	1	Yes	A man marries his FS daughter. [check kinship chart: also MB son?]. When the woman marries a man in a different village, a bride price has to be negotiated. But when the marriage is inside our village, we discuss the marriage but no actual objects are negotiated. 	nan	1:Yes;2:Yes > no	
SD5_10	blag1240	Is there gift exchange between bride's and groom's sides?	1	Yes	The bride's side can bring corn, goats, pigs etc for consumption at the wedding.	nan	0:No;1:Yes	
SD5_11	blag1240	Is there bride service?	0	No	It is possible that a man moves in with the family of his wife ('kawin masuk') when there are no sons in that family. The couple is still part of the man's clan but they live with the bride's parents.(clip 4, 4 mins). There is no bride service (unlike in Sumba, as is explicitly mentioned). Here, we are told to work so that we have a bride price, before we marry. If the bride price is not paid, it will become a debt. If in that famly there is a younger brother who wants to get married, then the groom with the debt must pay his brother in law's bride price.	nan	0:No;1:Yes	
SD5_12	blag1240	Transfer of residence at marriage?	1	1	The wife leaves her home, and is accompanied to her new home by the husband's group, with a procession with gongs and drums. We first dance around the mount of stones three times and then accompany her to her new home.	nan	1:1;4:1 / 3;2:2;3:3	
SD5_13	blag1240	Marital residence with kin?	3	3		nan	1:1;7:1 / 3;3:3;6:3 / 5;5:5	
SD5_14	blag1240	Are traditional marriages obligatorily exogamous?	0	No		nan	0:No;1:Yes	
SD5_15	blag1240	If mother dies, who raises the children?	10	Father and/or his family	When the father gets a new wife, the new wife moves in with him and the children remain with their father and new wife.	nan	12:Father and his family.;10:Father and/or his family;11:Mother and/or her family	
SD5_2	blag1240	Does a man typically marry a woman of his mother's subclan?	0	No		nan	0:No;1:Yes	
SD5_3	blag1240	Does a woman typicaly marry a man of her father’s subclan?	0	No		nan	0:No	
SD5_5	blag1240	Are there locality-based restrictions on marriage	0	No		nan	0:No;1:Yes	
SD5_6	blag1240	Was polygamy permitted	0	No		nan	0:No;1:Yes;2:yes > no	
SD5_7	blag1240	Was polyandry permitted?	0	No		nan	0:No	
SD5_8	blag1240	Is bridewealth paid by the groom's side to the bride's side	1	Yes		nan	1:Yes	
SD5_9	blag1240	Is dowry paid by the bride's side to the groom's side	1	Yes	The bride's parents do not pay but the bride's MB is the pohon pelepas so he ikut menangis when the bride leaves the family. He must provide a closet/cupboard (to keep clothes in), a bed, a mattress, cooking stuff,a tempat sirih pinang and other furniture for the household.	nan	1:Yes	
SD6_0	blag1240	Are villages the typical settlement pattern?	1	Yes		nan	0:No;1:Yes;2:no > yes	
SD6_1	blag1240	Are dispersed solitary family homesteads the typical settlement pattern?	0	No		nan	0:No;1:Yes;2:yes > no	
SD6_2	blag1240	Are settlements permanent?	1	Yes		nan	1:Yes	
SD6_3	blag1240	Are villages/hamlets centered on a group of related women	0	No		nan	0:No;1:Yes	
SD6_4	blag1240	Mean size of local communities?	6	6	1098 households including newcomers	nan	2:2;10:4 /5;5:5;6:6	
SD6_5	blag1240	Are villages/hamlets centered on a group of related men?	1	Yes		nan	0:No;1:Yes	
SD6_6	blag1240	Are villages/hamlets (traditionally) located on hill tops?	1	Yes		nan	0:No;1:Yes	
SD6_7	blag1240	Are villages/hamlets (tradtionally) located on the shore?	1	Yes		nan	0:No;1:Yes	
SD6_8	blag1240	Do villages have places or spaces for gatherings?	11	1 / 2 / 3	1: the area around the church, 2. a communitiy center, 3. the circular mount of stones (if there is a tree we can also have discussions there). 	nan	1:1;13:1 / 2;11:1 / 2 / 3;12:1 /3;2:2;10:They do	
SD7_0	blag1240	Shape of (traditional) houses?	1	1	We do not have a rumah adat here anymore. We had one in the old village.	nan	1:1;2:1 / 2	
SD7_1	blag1240	Floor level of traditional houses?	3	3		nan	1:1;4:1 / 2;2:2;3:3	
SD7_2	blag1240	Shape of roof of traditional houses?	2	2		nan	3:1 / 4;2:2;4:4	
SD7_3	blag1240	Is there an attic or loft in a traditional house?	1	Yes	On the first floor, every family has its own cooking/living space. In the loft, food is kept. Traditional barang adat is also kept there, if it is the house of the clan's leader. But nowadays, there is no barang adat left.	nan	0:No;1:Yes	
SD8_0	blag1240	Do leaders come from particular lineages?	0	No	In the  past, leaders had to be from the Nuhomo clan. Nowadays, that is no longer required. If a Nuhomo leader has a child that 'can talk', he can become the leader, but if the child is 'dumb', someone else who 'can talk' can become the leader. 'Can talk' means: who knows the traditional words and rules.	nan	0:No;1:Yes	
SD8_1	blag1240	Are leaders non-hereditary?	1	1	Wealth is not important; experience and knowledge of traditional rules is important.	nan	1:1;2:2;0:No;3:yes > no / 1	
SD8_10	blag1240	Are there groups with whom traditional relations are forbidden?	0	No		nan	0:No;1:Yes	
SD8_11	blag1240	Are there groups with whom there has been war?	0	No	But there is a tradition where we hit ourselves with rotan on our legs, with gong music, when we finished making the roof of a house. It is called 'wash hands/body'. After that there is karate between villages, with gongs.	nan	0:No;1:Yes	
SD8_12	blag1240	Is there an opposition between people of the interior and people of the shore?	0	No		nan	0:No;1:Yes	
SD8_3	blag1240	Are there female community/clan leaders	0	No	It is possible but it has not happened yet that a woman sits with the men to discuss adat. But it can be made possible.	nan	0:No	
SD8_4	blag1240	Are there men’s houses	0	No		nan	0:No;1:Yes;10:yes > no	
SD8_5	blag1240	Are there (traditional)   rulers/kings?	0	No	clip 6, 1:50	nan	0:No;1:Yes	
SD8_6	blag1240	Are there slaves?	0	No	clip 6, 1:50	nan	0:No;1:Yes	
SD8_7	blag1240	Is there a concept for both ruler and foreigner, stranger king?	0	No		nan	0:No	
SD8_8	blag1240	Are there traditional relations/alliances with one or more neighbouring groups?	0	No	Istilah bela ko, di sini tidak ada.(Clip 6, 3:29 mins). The Blagar in Pantar have it with the people in Lembata.	nan	0:No;1:Yes	
SD8_9	blag1240	Is there a special name for this alliance?	0	No		nan	0:No;1:Yes;2:talipasa	
SD9_0	blag1240	Is namesake ritually marked, or with features reminiscent of particular kinship relations?	1	Yes	After 2 months, the baby is given a name. The baby can then go out of the house. The mother however can go out of the house immediately after birth. Names of people that are still alive can be given. (clip 10, 10:15 mins.)	nan	10:Given Abui name upon birth given by  parents;0:No;1:Yes	
SD9_1	blag1240	Do descent groups own sets of personal names?	0	No		nan	0:No;1:Yes;2:yes / no	
SD9_2	blag1240	Are names taken from the father's group?	0	No	Names are free, taken from the Bible, or Michael Jackson, or the month when the baby is born.	nan	2:Father's group;0:No;1:Yes	
SD9_3	blag1240	Are names taken from the mother's group?	0	No		nan	0:No;1:Yes	
SD9_4	blag1240	Are there name taboos?	0	No	Names of people that are still alive can be given. (clip 10, 10:15 mins.) But in the past that was forbidden (clip 10, 13 mins)	nan	0:No;1:Yes	
SD9_5	blag1240	Are there particular relations not to be addressed, or mentioned, by name	1	Yes	Older people cannot be called by their first name. Surname or full name must be preceded by boma (men), meme (women). (clip 7, beginning), or nimang 'my father', niva 'my mother'	nan	0:No;1:Yes	
SD9_6	blag1240	did your language (or a group of people defined by speaking the language) traditionally have a name, other than a locality name	0	No		nan	0:No;1:Yes	
SD9_7	blag1240	Is there a special word to refer to a foreigner?	0	No		nan	0:No;1:Yes	
